"","amanitin.st8to10.uni.mean","cMO.st8to10.uni.mean","BmpLOF.st8to10.uni.mean","NodalLOF.st8to10.uni.mean","NBLOF.st8to10.uni.mean","WntLOF.st8to10.uni.mean","WBLOF.st8to10.uni.mean","WNLOF.st8to10.uni.mean","WNBLOF.st8to10.uni.mean","mPouVLOF.st8to10.uni.mean","mPSLOF.st8to10.uni.mean","mVegTLOF.st8to10.uni.mean","4xTkd.st10to12.cMO.mean","amanitin.st8to10.uni.mean.padj","cMO.st8to10.uni.mean.padj","BmpLOF.st8to10.uni.mean.padj","NodalLOF.st8to10.uni.mean.padj","NBLOF.st8to10.uni.mean.padj","WntLOF.st8to10.uni.mean.padj","WBLOF.st8to10.uni.mean.padj","WNLOF.st8to10.uni.mean.padj","WNBLOF.st8to10.uni.mean.padj","mPouVLOF.st8to10.uni.mean.padj","mPSLOF.st8to10.uni.mean.padj","mVegTLOF.st8to10.uni.mean.padj","4xTkd.st10to12.cMO.mean.padj","intron.or.exon","baseMean.e","av.log2FC.e","av.padj.e","dv.log2FC.e","dv.padj.e","baseMean.i","av.log2FC.i","av.padj.i","dv.log2FC.i","dv.padj.i","av.pattern.G","dv.pattern.G","pol2.8.mean","pol2.8p.mean","pol2.11.mean","stage","maternal.tpm","meanSt8to11.tpm"
"Xetro.A00180|mex3c",23.3006151970895,100.221248951769,105.759081581612,106.902442387028,102.207300619442,110.023098856443,101.256889433821,111.486509048782,107.744459054136,111.604171621427,104.504011035087,124.77306024864,128.357999117922,3.36119942426058e-07,1,1,1,1,1,1,1,1,1,0.995252019637481,0.238425619917627,0.00514625408749866,1,4210.25812534665,0.576121832858119,0.376554855634791,0.210717317978181,1,851.799446150765,0.834184132129556,0.311569708497103,0.0916857795611196,1,0.576121832858119,0.210717317978181,3.24938001607359,41.6275040677782,28.4787260718599,8,16.5450275781316,62.6775758235752
"Xetro.A00210|elovl7",28.3854837858023,102.743463650277,94.5195708271159,124.320999033972,91.7020655716998,110.089205758479,96.2452310938402,115.102479479174,100.28292057505,42.0386880242098,19.2925227406776,127.244764150215,165.245221884216,7.09862796265083e-10,1,1,1,1,1,1,1,1,3.91219504056157e-10,7.18381478788433e-33,0.492569902494564,1.91226207268868e-10,0,3801.22173466163,1.25080177704717,0.0101001532757168,0.205076214283709,1,125.041419449629,2.79220210887748,0.000425538827854467,0.374926016372851,1,2.79220210887748,0.205076214283709,1.51062723983497,7.32580430651236,6.2363098231487,8.5,207.424942013675,251.488144293137
"Xetro.A00232|",0.0638529190922627,71.0486141962447,74.4592068970767,39.0001795151958,35.1902370588251,68.6519061238841,23.3617261634551,31.2358150424056,17.6801446565373,61.5883536791391,125.036316937209,43.553037145449,77.0093713410642,5.82395857805118e-51,1,1,0.759930379441612,0.506967095236143,1,0.0219870940292244,0.135504196773714,0.00139174958335691,0.193659032037758,0.769449525346109,0.136237974975612,0.0437381220853951,1,89.0507322605216,-0.443927523780503,1,-0.0987030900536724,1,11.1353501863261,-0.151744619938502,1,-0.660824712430901,1,-0.443927523780503,-0.0987030900536724,3.05252388339566,20.4936414716292,13.2998375541508,8,0,6.25919423123292
"Xetro.A00234|srek1",38.4595224808905,111.356977518045,103.456336044387,104.12078432088,112.297215351151,106.543331636242,85.76303662857,96.499718949582,87.9599937841039,99.194695508579,117.178273405529,130.967110578053,97.9946289590842,0.00361195238828608,1,1,1,1,1,1,1,1,1,0.320340862477922,0.00542713118922535,0.906721349648621,0,564.738672983849,0.0966667804679501,1,0.128442236083043,1,71.2127517976021,1.80277049960911,0.04003096818787,0.615885244598322,1,1.80277049960911,0.128442236083043,0.85071598771405,1.46421208918966,2.20862916187495,11,9.09516852123054,10.0971334068289
"Xetro.A00251|serinc5",21.2397703868394,102.032563486165,100.950193872539,116.304158007398,130.885897395862,110.023405889693,106.368602525978,106.469928023855,110.802462016314,92.6459603161366,46.823157439727,109.617883599254,149.405351918385,6.08156972455556e-06,1,1,1,1,1,1,1,1,0.577923483923843,2.20063657715934e-10,0.823389117521974,0.00490065385902669,0,7154.52182868442,0.633289108122904,0.113106917627429,0.0778513213215184,1,279.619947781555,1.4942387272139,0.0160089434307849,-0.193291500852028,1,1.4942387272139,0.0778513213215184,1.21109989131696,8.6184384964013,7.32673631960385,8.5,81.6019391335539,97.6066595027688
"Xetro.A00277|f2rl1",7.49655758777815,110.250808961406,115.720336364282,129.318252095317,171.74092773147,119.08044160353,150.445657128403,137.065049606966,141.51061401646,136.081594344677,152.988329888647,121.097795217266,127.329068562276,2.27617811826153e-14,1,1,1,0.386888583796,1,0.850973904218043,1,1,0.067880366092271,0.00623548111953145,0.393775427660555,0.00450231484105849,0,1443.80330125536,0.614996725629479,0.942512940785353,-0.0271434926561986,1,89.01290387677,0.0564564626813818,1,0.475459227269622,1,0.614996725629479,-0.0271434926561986,2.3155502101283,7.17711648660988,2.52352297196617,8,140.752389917119,88.9383901081501
"Xetro.A00278|f2r",26.4369908813174,115.278703818312,115.540994952774,124.09888991102,131.161490080401,116.064517218761,105.499916080897,111.13962141946,106.093059735164,140.643246138916,153.076181354825,104.540248090048,116.221779533878,5.44006750298344e-05,1,1,1,1,1,1,1,1,0.0693287431875698,0.00368101300174839,0.985386020217281,0.166665956201577,0,324.333775086052,0.0799574036645375,1,-0.035536215564762,1,22.2813646288505,0.201307114627356,1,0.0789984864249857,1,0.0799574036645375,-0.035536215564762,1.02199680315017,1.20220581849909,1.63269598091613,12.5,57.0637985866458,35.1692858399995
"Xetro.A00292|nsa2",42.5711328680225,104.277785702383,100.282855840115,114.072640718234,140.582843435659,120.647689333892,161.490725054867,167.768017221981,130.300220961948,226.582547177254,290.617941453695,131.117060876737,148.540368827938,3.52960656878188e-05,1,1,1,1,1,1,1,1,1.0170336320023e-12,9.1633866305076e-22,0.295365611078134,0.000719431239854326,0,4346.36223541367,0.0446627411622066,1,0.130775087122671,1,10.5757638855009,-0.580333567018509,1,0.977119243852819,1,0.0446627411622066,0.130775087122671,1.41467838362181,3.72889821761939,2.38273207372818,8.5,178.418089841443,282.805990506218
"Xetro.A00295|enc1",38.9106652726497,112.22024569537,90.0677468031689,101.272848625081,74.0832765000412,161.284388207938,202.24835731858,151.179445387778,126.262087391484,139.295319444607,172.267880375295,126.273323388517,148.04328391041,0.000396407901698689,1,1,1,1,1,0.49435187397328,1,1,0.0106941026635739,4.29383884559129e-05,0.52141908549224,4.43983994295043e-06,0,1082.90376639446,0.618515957626296,0.917045946922547,-0.02728620529486,1,79.3793863669825,0.19013950869391,1,-0.33433439442576,1,0.618515957626296,-0.02728620529486,1.64559618957944,2.58916392539534,4.10281197542678,8.5,144.842216773029,74.3482019482723
"Xetro.A00304|sec11c",22.2640549575554,107.777706536848,106.039543333604,111.019784617223,120.404214361003,120.823123646749,120.267305591318,115.850292034267,117.658500948996,83.5983259964096,98.156861428882,114.611293772579,99.4930617970693,6.3278539159664e-07,1,1,1,1,1,1,1,1,0.473539704223838,0.731210457616096,0.624678845632195,0.966630026752644,0,757.986954272227,-0.030374840223389,1,-0.0301728129319642,1,115.009128818932,2.24946215796704,0.000511496680477811,0.258442683023487,1,2.24946215796704,-0.0301728129319642,0.818463140262683,2.039542667784,1.8076464140674,8.5,97.5687106759985,96.0172638828108
